id,japanese,pronounce,english,familiar,show_cnt,last_show,score
990,変える,かえる,"to change, to alter, to vary, to convert, to revise, to amend, to transform",0,0,0,0.0
991,変わる,かわる,"to change, to be transformed, to vary, to be revised, to be different, to move location",0,0,0,0.0
992,片付ける,かたづける,"① to tidy up, to put in order, to straighten up, to put away ② to settle (problem), to clear (dispute) ③ to finish, to bring something to an end ④ to marry off (e.g. a daughter) ⑤ to do away with someone, to bump someone off",0,0,0,0.0
993,暮れる,くれる,"to get dark, to end, to come to an end, to close, to run out",0,0,0,0.0
994,法律,ほうりつ,law,0,0,0,0.0
995,訪ねる,たずねる,to visit,0,0,0,0.0
996,亡くなる,なくなる,to die,0,0,0,0.0
997,眠い,ねむい,"sleepy, drowsy, somnolent",0,0,0,0.0
998,眠る,ねむる,① to sleep (not necessarily lying down) ② to die,0,0,0,0.0
999,夢,ゆめ,dream,0,0,0,0.0
1000,娘,むすめ,"① (my) daughter ② girl (i.e. a young, unmarried woman)",0,0,0,0.0
1001,戻る,もどる,"to turn back, to return, to go back, to recover, to rebound",0,0,0,0.0
1002,約束,やくそく,"① arrangement, promise, appointment, pact, engagement ② convention, rule",0,0,0,0.0
1003,踊る,おどる,to dance (orig. a hopping dance),0,0,0,0.0
1004,輸出,ゆしゅつ,① export ② efferent (medical),0,0,0,0.0
1005,優しい,やさしい,"tender, kind, gentle, graceful, affectionate, amiable, suave",0,0,0,0.0
1006,予約,よやく,"① reservation, appointment, booking, advance order ② contract, subscription, pledge",0,0,0,0.0
1007,踊り,おどり,dance,0,0,0,0.0
1008,利用,りよう,"use, utilization, utilisation, application",0,0,0,0.0
1009,裏,うら,"① bottom (or another side that is hidden from view), undersurface, opposite side, reverse side ② rear, back, behind (the house) ③ lining, inside ④ out of sight, behind the scenes ⑤ proof ⑥ opposite (of a prediction, common sense, etc.) ⑦ inverse (of a hypothesis, etc.) ⑧ bottom (of an inning), last half (of an inning)",0,0,0,0.0
1010,冷える,ひえる,"to grow cold, to get chilly, to cool down",0,0,0,0.0
1011,歴史,れきし,history,0,0,0,0.0
1012,連れる,つれる,"to lead, to take (a person)",0,0,0,0.0
1013,連絡,れんらく,"① to contact, to get in touch ② contacting, getting in touch, communication, call, message ③ connection, coordination, junction ④ intercalary, intercalaris, internuncial",0,0,0,0.0
1014,腕,うで,① arm ② skill,0,0,0,0.0
1015,途中,とちゅう,"① on the way, en route ② in the middle of, midway",0,0,0,0.0
1016,包む,つつむ,"① to wrap up, to tuck in, to pack, to do up, to cover with, to dress in ② to conceal, to hide, to be engulfed in, to be enveloped by",0,0,0,0.0
1017,頂く,いただく,"① to receive, to get, to accept, to take, to buy ② to eat, to drink ③ to be crowned with, to wear (on one's head), to have (on top) ④ to have (as one's leader), to live under (a ruler), to install (a president)",0,0,0,0.0
1018,受付,うけつけ,"reception (desk), information desk",0,0,0,0.0
1019,贈り物,おくりもの,"present, gift",0,0,0,0.0
1020,遅れる,おくれる,"to be late, to be delayed, to fall behind schedule, to be overdue",0,0,0,0.0
1021,格好,かっこう,"① shape, form, posture, appearance, manner ② suitability, moderateness (in price)",0,0,0,0.0
1022,込む,こむ,"① to be crowded, to be packed ② to be complex ③ to go into, to put into, to remain (seated), to be plunged into (silence), to do thoroughly ④ to do intently ⑤ to continue in the same state",0,0,0,0.0
1023,怖い,こわい,"① scary, frightening, eerie, dreadful ② (I'm) afraid",0,0,0,0.0
1024,ご存じ,ごぞんじ,① knowing ② (an) acquaintance,0,0,0,0.0
1025,探す,さがす,"to search (for something desired, needed), to look for",0,0,0,0.0
1026,捕まえる,つかまえる,"to catch, to arrest, to seize",0,0,0,0.0
1027,泥棒,どろぼう,"thief, burglar, robber, theft",0,0,0,0.0
1028,治る,なおる,"to be cured, to get well, to be healed",0,0,0,0.0
1029,値段,ねだん,"price, cost",0,0,0,0.0
1030,乗り換える,のりかえる,"to transfer (trains), to change (bus, train)",0,0,0,0.0
1031,増える,ふえる,"to increase, to multiply",0,0,0,0.0
1032,舟,ふね,"① ship, boat, watercraft, vessel, steamship ② tank, tub, vat, trough ③ counter for boat-shaped containers (e.g. of sashimi)",0,0,0,0.0
1033,周り,まわり,"① circumference, perimeter, edge ② surroundings, locality, neighborhood ③ rotation, circulation",0,0,0,0.0
1034,見舞い,みまい,"① visiting ill or distressed people, writing get-well letters ② get-well gifts, get-well letters ③ expression of sympathy, expression of concern, enquiry, inquiry",0,0,0,0.0
1035,柔らかい,やわらかい,"soft, tender, limp",0,0,0,0.0
1036,沸く,わく,"to grow hot (of water, etc.), to boil",0,0,0,0.0
1037,割合,わりあい,"① rate, ratio, percentage, proportion ② comparatively ③ contrary to expectations",0,0,0,0.0
1038,お祝い,おいわい,"congratulation, congratulations, celebration, festival, congratulatory gift",0,0,0,0.0
1039,お嬢さん,おじょうさん,① daughter ② young lady,0,0,0,0.0
1040,挨拶,あいさつ,"① greeting, greetings, salutation, salute ② speech (congratulatory or appreciative), address ③ reply, response ④ a fine thing to say (used as part of a sarcastic response to a rude remark) ⑤ (orig. meaning) dialoging (with another Zen practitioner to ascertain their level of enlightenment)",0,0,0,0.0
1041,為,ため,"① good, advantage, benefit, welfare ② sake, purpose, objective, aim ③ consequence, result, effect ④ affecting, regarding, concerning",0,0,0,0.0
1042,一生懸命,いっしょうけんめい,"very hard, with utmost effort, with all one's might, for dear life",0,0,0,0.0
1043,嘘,うそ,"lie, falsehood, incorrect fact",0,0,0,0.0
1044,壊す,こわす,"① to break, to destroy, to demolish ② to wreck, to ruin, to spoil, to damage ③ to break (a bill, etc.)",0,0,0,0.0
1045,壊れる,こわれる,"① to be broken, to break ② to fall through, to come to nothing",0,0,0,0.0
