japanese,pronounce,english
何,なん,① what ② how many (some counter)
魚,さかな,fish
九,きゅう,nine
行く,いく,"① to go ② to proceed, to take place ③ to die, to pass away ④ to continue"
今日,きょう,"today, this day"
今年,ことし,this year
三,さん,three
四,よん,four
十,じゅう,"10, ten"
人,ひと,"① man, person ② human being, mankind, people ③ character, personality ④ man of talent, true man ⑤ other people ⑥ adult"
店,みせ,"store, shop, establishment"
八,はち,eight
毎年,まいとし,"every year, yearly, annually"
万,まん,"① 10,000, ten thousand ② myriads ③ everything, all"
六,ろく,six
言う,いう,① to say ② to call (i.e. to give a name)
大きい,おおきい,"big, large, great, loud"
聞く,きく,"① to hear ② to listen (e.g. to music) ③ to ask, to enquire, to query"
国,くに,"① country, (the) state ② region ③ home (i.e. hometown, home country)"
立つ,たつ,"① to stand, to rise, to stand up ② to find oneself (e.g. in a difficult position) ③ to depart (on a plane, train, etc.)"
出かける,でかける,"to depart, to go out (e.g. on an excursion or outing), to set out, to start, to be going out"
話,はなし,"① talk, speech, chat, story, conversation ② discussions, negotiation, argument"
分かる,わかる,"① to be understood, to be comprehended, to be grasped ② to become clear, to be known, to be discovered, to be realized, to be realised, to be found out"
母さん,かあさん,mother
父さん,とうさん,father
時,じ,"① hour, o'clock ② (specified) time, when ..., during ..."
日,にち,① Sunday ② day (of the month) ③ counter for days
年,ねん,① year (e.g. AD) ② counter for years
いる,いる,auxillary verb for continuing action or state
人,にん,① counter for people ② (usu. in compound words) person
お茶,おちゃ,① tea (usu. green) ② tea break (at work) ③ tea ceremony
悪い,わるい,"① bad, poor, inferior ② evil, sinful ③ unprofitable, unbeneficial ④ at fault, to blame, in the wrong ⑤ sorry"
暗い,くらい,"① dark, gloomy ② dark (in colour), dull ③ depressed, dispirited ④ sorrowful, bitter (as in a dark past) ⑤ unclear, unfamiliar, unknown"
意味,いみ,"meaning, significance"
医者,いしゃ,"(medical) doctor, physician"
引く,ひく,"① to pull ② to draw (attention, etc.), to attract (interest, etc.) ③ to draw back ④ to draw (a card) ⑤ to draw (plan, line, etc.) ⑥ to catch (cold) ⑦ to play (string instr.) ⑧ to look up (e.g. dictionary), to consult ⑨ to haul, to pull (vehicles) ⑩ to subtract ⑪ to ebb, to fade ⑫ to descend (from), to inherit (a characteristic) ⑬ to quote, to raise (as evidence) ⑭ to lay (a cable), to draw (a cable)"
映画,えいが,"movie, film"
英語,えいご,English (language)
遠い,とおい,"far, distant"
音楽,おんがく,"music, musical movement"
夏,なつ,summer
夏休み,なつやすみ,"summer vacation, summer holiday"
家族,かぞく,"family, members of a family"
火曜日,かようび,Tuesday
会う,あう,"① to meet, to encounter ② to have an accident, to have a bad experience"
回,かい,① counter for occurrences ② counter for innings (baseball)
海,うみ,"sea, beach"
開ける,あける,"① to open (a door, etc.), to unwrap (e.g. parcel, package) ② to open (for business, etc.)"
楽しい,たのしい,"enjoyable, fun"
寒い,さむい,"① cold (e.g. weather) ② dull, uninteresting, lame"
漢字,かんじ,"Chinese characters, kanji"
帰る,かえる,"① to return, to come home, to go home, to go back ② (of a guest, customer, etc.) to leave ③ (of a baseball player rounding the bases) to get home"
起きる,おきる,"① to get up, to rise ② to wake up ③ to occur (usu. of unfavourable incidents), to happen, to take place"
牛肉,ぎゅうにく,beef
去年,きょねん,last year
強い,つよい,"① strong, powerful, mighty, potent ② resistant, resilient, durable"
教える,おしえる,"to teach, to inform, to instruct"
教室,きょうしつ,classroom
近い,ちかい,"near, close, short (distance)"
近く,ちかく,"① near, neighbourhood, neighborhood, vicinity ② nearly (i.e. ""it took nearly one year""), close to ③ shortly, soon"
金曜日,きんようび,Friday
銀行,ぎんこう,bank
兄さん,にいさん,"① older brother, elder brother ② brother (as older-brother figure in friendly and or work relationship) ③ (vocative) young man, buddy, fella, laddie"
兄弟,きょうだい,"siblings, brothers and sisters"
軽い,かるい,"① light (i.e. not heavy), feeling light (i.e. offering little resistance, moving easily) ② light (i.e. of foot), nimble, agile ③ non-serious, minor, unimportant, trivial ④ slight, small, gentle, soft ⑤ easy, simple ⑥ indiscriminate"
月,つき,① moon ② month
月曜日,げつようび,Monday
建物,たてもの,building
犬,いぬ,"① dog (Canis (lupus) familiaris) ② snoop (i.e. a detective, a spy, etc.) ③ counterfeit, inferior, useless, wasteful"
元気,げんき,"health(y), robust, vigor, vigour, energy, vitality, vim, stamina, spirit, courage, pep"
ご飯,ごはん,① cooked rice ② meal
好き,すき,"liking, fondness, love"
広い,ひろい,"spacious, vast, wide"
考える,かんがえる,"to consider, to think about"
黒,くろ,"① black ② dark ③ bad guy, 'black hat'"
黒い,くろい,"① black ② dark ③ illicit, wicked, underground"
有る,ある,"① to be (usu. of inanimate objects), to exist, to live ② to have ③ to be located ④ to be equipped with ⑤ to happen, to come about"
作文,さくぶん,"① writing (an essay, prose, etc.), composition ② formal writing with little real meaning"
仕事,しごと,"① work, job, business, occupation, employment, vocation, task ② work"
